trim,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/trim
urlencode,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/urlencode
fields,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/fields
in,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/in-operator
num,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/num
base64Decode,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/base64Decode
hexToAscii,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/hexToAscii
save,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/save
transpose,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/transpose
isNumeric,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/isNumeric
tourl,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/tourl
isValidIP,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/isValidIP
geo,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/Geo-Lookup
Luhn,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/Luhn
haversine,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/haversine
topk,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/topk
rollingstd,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/rollingstd
base64Encode,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/base64Encode
concat,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/concat
smooth,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/smooth
trace,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/trace
diff,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/diff
substring,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/substring
total,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/total
isPrivateIP,https://help.sumologic.com/05Search/Search-Query-Language/Search-Operators/isPrivateIP
atan,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/atan
asin,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/asin
cosh,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/cosh
toDegrees,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/toDegrees
round,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/round
cos,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/cos
sqrt,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/sqrt
tanh,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/tanh
cbrt,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/cbrt
exp,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/exp
log1p,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/log1p
toRadians,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/toRadians
ceil,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/ceil
hypot,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/hypot
sinh,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/sinh
log,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/log
expm1,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/expm1
abs,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/abs
log10,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/log10
atan2,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/atan2
acos,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/acos
sin,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/sin
tan,https://help.sumologic.com/05Search/Search-Query-Language/Math-Expressions/tan
